well	reporter	label	replicate	Status	Group	label_order
B2	mock	mock	1			
B3	pASHS64	WT UL4	1			
B4	pTBHS1	P22A	1			
B5	pTBHS2	uORF2 no AUG	1			
B6	pTBHS3	uORF2 strong Kozak	1			
B7	pTBHS12	GAPDH GACACC stop before uORF2	1	WT	WT	2
B8	pTBHS13	GAPDH GACACC stop before uORF2	1	no stall	WT	2
B9	pTBHS23	GAPDH no start stop before uORF2	1	WT	WT	1
B10	pTBHS24	GAPDH no start stop before uORF2	1	no stall	WT	1
C10	mock	mock	2			
C9	pASHS64	WT UL4	2			
C8	pTBHS1	P22A	2			
C7	pTBHS2	uORF2 no AUG	2			
C6	pTBHS3	uORF2 strong Kozak	2			
C5	pTBHS12	GAPDH GACACC stop before uORF2	2	WT	WT	2
C4	pTBHS13	GAPDH GACACC stop before uORF2	2	no stall	WT	2
C3	pTBHS23	GAPDH no start stop before uORF2	2	WT	WT	1
C2	pTBHS24	GAPDH no start stop before uORF2	2	no stall	WT	1
D2	mock	mock	3			
D3	pASHS64	WT UL4	3			
D4	pTBHS1	P22A	3			
D5	pTBHS2	uORF2 no AUG	3			
D6	pTBHS3	uORF2 strong Kozak	3			
D7	pTBHS12	GAPDH GACACC stop before uORF2	3	WT	WT	2
D8	pTBHS13	GAPDH GACACC stop before uORF2	3	no stall	WT	2
D9	pTBHS23	GAPDH no start stop before uORF2	3	WT	WT	1
D10	pTBHS24	GAPDH no start stop before uORF2	3	no stall	WT	1
E2	pTBHS53	GAPDH GACACC strong uORF2	1	WT	strong_kozak	4
E3	pTBHS54	GAPDH no AUG strong uORF2	1	WT	strong_kozak	3
E4	pTBHS56	GAPDH GACACC strong uORF2	1	no stall	strong_kozak	4
E5	pTBHS57	GAPDH no AUG strong uORF2	1	no stall	strong_kozak	3
E6	pTBHS58	GAPDH GACACC 2 eYFP codons longer	1	WT	longer_d_stall	6
E7	pTBHS59	GAPDH GACACC 2 eYFP codons longer	1	no stall	longer_d_stall	6
E8	pTBHS60	GAPDH no AUG 2 eYFP codons longer	1	WT	longer_d_stall	5
E9	pTBHS61	GAPDH no AUG 2 eYFP codons longer	1	no stall	longer_d_stall	5
F9	pTBHS53	GAPDH GACACC strong uORF2	2	WT	strong_kozak	4
F8	pTBHS54	GAPDH no AUG strong uORF2	2	WT	strong_kozak	3
F7	pTBHS56	GAPDH GACACC strong uORF2	2	no stall	strong_kozak	4
F6	pTBHS57	GAPDH no AUG strong uORF2	2	no stall	strong_kozak	3
F5	pTBHS58	GAPDH GACACC 2 eYFP codons longer	2	WT	longer_d_stall	6
F4	pTBHS59	GAPDH GACACC 2 eYFP codons longer	2	no stall	longer_d_stall	6
F3	pTBHS60	GAPDH no AUG 2 eYFP codons longer	2	WT	longer_d_stall	5
F2	pTBHS61	GAPDH no AUG 2 eYFP codons longer	2	no stall	longer_d_stall	5
G2	pTBHS53	GAPDH GACACC strong uORF2	3	WT	strong_kozak	4
G3	pTBHS54	GAPDH no AUG strong uORF2	3	WT	strong_kozak	3
G4	pTBHS56	GAPDH GACACC strong uORF2	3	no stall	strong_kozak	4
G5	pTBHS57	GAPDH no AUG strong uORF2	3	no stall	strong_kozak	3
G6	pTBHS58	GAPDH GACACC 2 eYFP codons longer	3	WT	longer_d_stall	6
G7	pTBHS59	GAPDH GACACC 2 eYFP codons longer	3	no stall	longer_d_stall	6
G8	pTBHS60	GAPDH no AUG 2 eYFP codons longer	3	WT	longer_d_stall	5
G9	pTBHS61	GAPDH no AUG 2 eYFP codons longer	3	no stall	longer_d_stall	5
