well	assay	counts
B2	fluc	4
B3	fluc	3457
B4	fluc	1150
B5	fluc	3665
B6	fluc	3163
B7	fluc	3113
B8	fluc	2365
B9	fluc	270
B10	fluc	16
C2	fluc	40
C3	fluc	180
C4	fluc	2070
C5	fluc	2539
C6	fluc	2955
C7	fluc	3719
C8	fluc	1302
C9	fluc	3709
C10	fluc	0
D2	fluc	20
D3	fluc	3841
D4	fluc	586
D5	fluc	3601
D6	fluc	3003
D7	fluc	2825
D8	fluc	1710
D9	fluc	232
D10	fluc	6
E2	fluc	3753
E3	fluc	1390
E4	fluc	1810
E5	fluc	1012
E6	fluc	2082
E7	fluc	1512
E8	fluc	2179
E9	fluc	2515
F2	fluc	2391
F3	fluc	1784
F4	fluc	1568
F5	fluc	2082
F6	fluc	1206
F7	fluc	1612
F8	fluc	1528
F9	fluc	4103
G2	fluc	4364
G3	fluc	1142
G4	fluc	1592
G5	fluc	902
G6	fluc	2062
G7	fluc	1822
G8	fluc	1664
G9	fluc	2327
B2	nluc	1955
B3	nluc	1401307
B4	nluc	802961
B5	nluc	2103130
B6	nluc	45131
B7	nluc	221209
B8	nluc	633175
B9	nluc	13145
B10	nluc	13239
C2	nluc	19387
C3	nluc	12740
C4	nluc	537646
C5	nluc	200927
C6	nluc	40396
C7	nluc	2134746
C8	nluc	860444
C9	nluc	1359897
C10	nluc	1843
D2	nluc	2013
D3	nluc	1255520
D4	nluc	347217
D5	nluc	2075032
D6	nluc	40149
D7	nluc	224423
D8	nluc	434213
D9	nluc	14255
D10	nluc	5101
E2	nluc	90168
E3	nluc	9289
E4	nluc	341480
E5	nluc	336274
E6	nluc	192422
E7	nluc	341153
E8	nluc	69177
E9	nluc	1210236
F2	nluc	1202367
F3	nluc	53239
F4	nluc	319586
F5	nluc	168568
F6	nluc	395787
F7	nluc	295685
F8	nluc	9641
F9	nluc	93508
G2	nluc	90142
G3	nluc	6978
G4	nluc	329323
G5	nluc	347721
G6	nluc	180246
G7	nluc	353595
G8	nluc	46007
G9	nluc	1265969
