well,assay,counts
B2,fluc,1147
B4,fluc,833
B6,fluc,15
B8,fluc,1083
B10,fluc,1181
B12,fluc,2
C2,fluc,1368
C4,fluc,1645
C6,fluc,1395
C8,fluc,1209
C10,fluc,1194
D2,fluc,74
D4,fluc,1127
D6,fluc,1170
D8,fluc,1119
D10,fluc,1911
E2,fluc,1720
E4,fluc,1243
E6,fluc,775
E8,fluc,34
E10,fluc,1134
F2,fluc,994
F4,fluc,1132
F6,fluc,1313
F8,fluc,1261
F10,fluc,595
G2,fluc,1561
G4,fluc,654
G6,fluc,1303
G8,fluc,948
G10,fluc,1829
G12,fluc,2
B2,nluc,147340
B4,nluc,436483
B6,nluc,2214
B8,nluc,1703753
B10,nluc,175679
B12,nluc,392
C2,nluc,542786
C4,nluc,116386
C6,nluc,1504569
C8,nluc,184202
C10,nluc,477985
D2,nluc,4342
D4,nluc,1728400
D6,nluc,223065
D8,nluc,487894
D10,nluc,112362
E2,nluc,1447520
E4,nluc,190817
E6,nluc,409274
E8,nluc,3474
E10,nluc,1721752
F2,nluc,158165
F4,nluc,545648
F6,nluc,109949
F8,nluc,1547866
F10,nluc,797244
G2,nluc,32276
G4,nluc,991696
G6,nluc,30396
G8,nluc,1393507
G10,nluc,30775
G12,nluc,320
