well,assay,counts
B2,nluc,557547
B3,nluc,4208692
B4,nluc,2414334
B5,nluc,18928
B6,nluc,246454
B7,nluc,329587
B8,nluc,95910
B9,nluc,97743
B10,nluc,104240
B11,nluc,75727
C2,nluc,72719
C3,nluc,116494
C4,nluc,102112
C5,nluc,105071
C6,nluc,370861
C7,nluc,240934
C8,nluc,13462
C9,nluc,2281400
C10,nluc,3627840
C11,nluc,496891
D2,nluc,446053
D3,nluc,3568559
D4,nluc,2181171
D5,nluc,20401
D6,nluc,269487
D7,nluc,340867
D8,nluc,81027
D9,nluc,75607
D10,nluc,96728
D11,nluc,61649
E2,nluc,2519
E3,nluc,56642
E4,nluc,50740
E5,nluc,110014
E6,nluc,22721
E7,nluc,15060
E8,nluc,26829
E9,nluc,1144679
E10,nluc,71668
E11,nluc,69515
F2,nluc,97709
F3,nluc,76519
F4,nluc,1102851
F5,nluc,39023
F6,nluc,18046
F7,nluc,24046
F8,nluc,84248
F9,nluc,73248
F10,nluc,36809
F11,nluc,712
G2,nluc,632
G3,nluc,67256
G4,nluc,62019
G5,nluc,120050
G6,nluc,24251
G7,nluc,20878
G8,nluc,28795
G9,nluc,1346250
G10,nluc,85685
G11,nluc,99075
B2,fluc,8265
B3,fluc,8142
B4,fluc,3019
B5,fluc,903
B6,fluc,2577
B7,fluc,1161
B8,fluc,2692
B9,fluc,1895
B10,fluc,1647
B11,fluc,1502
C2,fluc,1417
C3,fluc,1907
C4,fluc,1786
C5,fluc,2596
C6,fluc,1668
C7,fluc,2660
C8,fluc,774
C9,fluc,2772
C10,fluc,6445
C11,fluc,7099
D2,fluc,7058
D3,fluc,7099
D4,fluc,2699
D5,fluc,1166
D6,fluc,3011
D7,fluc,1409
D8,fluc,1764
D9,fluc,1274
D10,fluc,1695
D11,fluc,1844
E2,fluc,17
E3,fluc,1639
E4,fluc,1725
E5,fluc,3225
E6,fluc,982
E7,fluc,956
E8,fluc,1105
E9,fluc,1430
E10,fluc,1211
E11,fluc,393
F2,fluc,718
F3,fluc,1680
F4,fluc,1327
F5,fluc,1123
F6,fluc,1298
F7,fluc,1237
F8,fluc,1885
F9,fluc,2158
F10,fluc,1119
F11,fluc,9
G2,fluc,2
G3,fluc,1919
G4,fluc,2021
G5,fluc,3283
G6,fluc,1385
G7,fluc,1582
G8,fluc,1217
G9,fluc,1707
G10,fluc,1560
G11,fluc,508
