well,reporter,label,replicate,status,label_order
B1,mock,mock,1,,
B2,pTBHS134,WT,1,-,1
B3,pTBHS135,No-stall,1,-,1
B4,pTBHS134,WT,1,0.25X,2
B5,pTBHS135,No-stall,1,0.25X,2
B6,pTBHS134,WT,1,0.5X,3
B7,pTBHS135,No-stall,1,0.5X,3
B8,pTBHS134,WT,1,1X,4
B9,pTBHS135,No-stall,1,1X,4
B10,pTBHS134,WT,1,2X,5
B11,pTBHS135,No-stall,1,2X,5
D1,mock,mock,2,,
D2,pTBHS134,WT,2,-,1
D3,pTBHS135,No-stall,2,-,1
D4,pTBHS134,WT,2,0.25X,2
D5,pTBHS135,No-stall,2,0.25X,2
D6,pTBHS134,WT,2,0.5X,3
D7,pTBHS135,No-stall,2,0.5X,3
D8,pTBHS134,WT,2,1X,4
D9,pTBHS135,No-stall,2,1X,4
D10,pTBHS134,WT,2,2X,5
D11,pTBHS135,No-stall,2,2X,5
F1,mock,mock,3,,
F2,pTBHS134,WT,3,-,1
F3,pTBHS135,No-stall,3,-,1
F4,pTBHS134,WT,3,0.25X,2
F5,pTBHS135,No-stall,3,0.25X,2
F6,pTBHS134,WT,3,0.5X,3
F7,pTBHS135,No-stall,3,0.5X,3
F8,pTBHS134,WT,3,1X,4
F9,pTBHS135,No-stall,3,1X,4
F10,pTBHS134,WT,3,2X,5
F11,pTBHS135,No-stall,3,2X,5
H1,mock,mock,4,,
H2,pTBHS134,WT,4,-,1
H3,pTBHS135,No-stall,4,-,1
H4,pTBHS134,WT,4,0.25X,2
H5,pTBHS135,No-stall,4,0.25X,2
H6,pTBHS134,WT,4,0.5X,3
H7,pTBHS135,No-stall,4,0.5X,3
H8,pTBHS134,WT,4,1X,4
H9,pTBHS135,No-stall,4,1X,4
H10,pTBHS134,WT,4,2X,5
H11,pTBHS135,No-stall,4,2X,5
