well	assay	counts
B2	fluc	3
B3	fluc	121
B4	fluc	39
B5	fluc	57
B6	fluc	21
B7	fluc	137
B8	fluc	51
B9	fluc	77
B10	fluc	67
C2	fluc	41
C3	fluc	77
C4	fluc	51
C5	fluc	81
C6	fluc	17
C7	fluc	79
C8	fluc	29
C9	fluc	83
C10	fluc	0
D2	fluc	0
D3	fluc	141
D4	fluc	39
D5	fluc	93
D6	fluc	13
D7	fluc	145
D8	fluc	37
D9	fluc	69
D10	fluc	43
B2	nluc	26
B3	nluc	722
B4	nluc	88
B5	nluc	2427
B6	nluc	126
B7	nluc	1002
B8	nluc	240
B9	nluc	4746
B10	nluc	1110
C2	nluc	1352
C3	nluc	4297
C4	nluc	238
C5	nluc	916
C6	nluc	208
C7	nluc	2841
C8	nluc	102
C9	nluc	442
C10	nluc	28
D2	nluc	22
D3	nluc	548
D4	nluc	154
D5	nluc	3725
D6	nluc	188
D7	nluc	984
D8	nluc	250
D9	nluc	4303
D10	nluc	1244
