well,assay,counts
B1,fluc,4
B2,fluc,2050
B3,fluc,4310
B4,fluc,4317
B5,fluc,5406
B6,fluc,681
B7,fluc,2268
B8,fluc,3490
B9,fluc,7808
B10,fluc,3461
B11,fluc,4903
D1,fluc,10
D2,fluc,1514
D3,fluc,4022
D4,fluc,1761
D5,fluc,5542
D6,fluc,996
D7,fluc,3434
D8,fluc,4206
D9,fluc,6342
D10,fluc,1999
D11,fluc,6231
F1,fluc,8
F2,fluc,1403
F3,fluc,3269
F4,fluc,1713
F5,fluc,5071
F6,fluc,1791
F7,fluc,5502
F8,fluc,2679
F9,fluc,6268
F10,fluc,3306
F11,fluc,7297
H1,fluc,11
H2,fluc,1530
H3,fluc,2389
H4,fluc,2368
H5,fluc,5375
H6,fluc,1882
H7,fluc,3048
H8,fluc,3618
H9,fluc,7833
H10,fluc,3501
H11,fluc,8280
B1,nluc,113
B2,nluc,4822
B3,nluc,161010
B4,nluc,60585
B5,nluc,589308
B6,nluc,4950
B7,nluc,63074
B8,nluc,56436
B9,nluc,839088
B10,nluc,71065
B11,nluc,750092
D1,nluc,128
D2,nluc,2696
D3,nluc,127589
D4,nluc,49911
D5,nluc,543819
D6,nluc,6494
D7,nluc,102076
D8,nluc,66823
D9,nluc,736563
D10,nluc,49073
D11,nluc,746432
F1,nluc,127
F2,nluc,3406
F3,nluc,138631
F4,nluc,35864
F5,nluc,544106
F6,nluc,7697
F7,nluc,74140
F8,nluc,34696
F9,nluc,693087
F10,nluc,62834
F11,nluc,765860
H1,nluc,83
H2,nluc,3485
H3,nluc,83065
H4,nluc,33240
H5,nluc,452865
H6,nluc,6195
H7,nluc,53335
H8,nluc,52036
H9,nluc,673507
H10,nluc,67531
H11,nluc,737971
