well,assay,counts
A1,fluc,2573
A2,fluc,1577
A3,fluc,2388
A4,fluc,1096
A5,fluc,2660
A6,fluc,1743
A7,fluc,813
A8,fluc,2490
A9,fluc,1140
A10,fluc,3225
A11,fluc,2914
A12,fluc,2627
B1,fluc,2133
B2,fluc,1497
B3,fluc,2237
B4,fluc,848
B5,fluc,1870
B6,fluc,2293
B7,fluc,1550
B8,fluc,2715
B9,fluc,2091
B10,fluc,3224
B11,fluc,2448
B12,fluc,3171
C1,fluc,2546
C2,fluc,1639
C3,fluc,2399
C4,fluc,707
C5,fluc,2079
C6,fluc,2085
C7,fluc,1991
C8,fluc,2160
C9,fluc,2115
C10,fluc,2776
C11,fluc,3473
C12,fluc,2334
D1,fluc,1916
D2,fluc,1112
D3,fluc,1872
D4,fluc,1265
D5,fluc,1532
D6,fluc,2760
D7,fluc,1723
D8,fluc,1387
D9,fluc,2078
D10,fluc,2453
D11,fluc,4638
D12,fluc,2297
E1,fluc,2717
E2,fluc,2597
E3,fluc,1962
E4,fluc,876
E5,fluc,1949
E6,fluc,1660
E7,fluc,753
E8,fluc,1363
E9,fluc,1432
E10,fluc,2158
E11,fluc,3421
E12,fluc,2948
F1,fluc,198
F2,fluc,1613
F3,fluc,2133
F4,fluc,42
F5,fluc,1380
F6,fluc,1676
F7,fluc,15
F8,fluc,1219
F9,fluc,1534
F10,fluc,32
F11,fluc,1530
F12,fluc,2079
G1,fluc,328
G2,fluc,1120
G3,fluc,1683
G4,fluc,9
G5,fluc,506
G6,fluc,1130
G7,fluc,9
G8,fluc,198
G9,fluc,900
G10,fluc,3
G11,fluc,451
G12,fluc,841
H1,fluc,1
H2,fluc,528
H3,fluc,1033
A1,nluc,422273
A2,nluc,143378
A3,nluc,458749
A4,nluc,128150
A5,nluc,789852
A6,nluc,569633
A7,nluc,141380
A8,nluc,851430
A9,nluc,255772
A10,nluc,1900870
A11,nluc,1730044
A12,nluc,3370897
B1,nluc,430037
B2,nluc,159892
B3,nluc,416617
B4,nluc,115995
B5,nluc,647996
B6,nluc,767420
B7,nluc,409714
B8,nluc,556550
B9,nluc,637187
B10,nluc,1974209
B11,nluc,1462095
B12,nluc,4148606
C1,nluc,435971
C2,nluc,196467
C3,nluc,425559
C4,nluc,154149
C5,nluc,880392
C6,nluc,1001113
C7,nluc,470794
C8,nluc,635944
C9,nluc,621122
C10,nluc,1954738
C11,nluc,2009080
C12,nluc,3636385
D1,nluc,373982
D2,nluc,161590
D3,nluc,374051
D4,nluc,177645
D5,nluc,741562
D6,nluc,1040559
D7,nluc,375952
D8,nluc,498729
D9,nluc,573511
D10,nluc,1471414
D11,nluc,1976249
D12,nluc,2560657
E1,nluc,477342
E2,nluc,256014
E3,nluc,454123
E4,nluc,106320
E5,nluc,964238
E6,nluc,517167
E7,nluc,152172
E8,nluc,539602
E9,nluc,409036
E10,nluc,1251977
E11,nluc,2100920
E12,nluc,3700858
F1,nluc,62730
F2,nluc,380960
F3,nluc,3627351
F4,nluc,12983
F5,nluc,457603
F6,nluc,3670486
F7,nluc,11831
F8,nluc,382947
F9,nluc,3858621
F10,nluc,22136
F11,nluc,499470
F12,nluc,5025248
G1,nluc,84931
G2,nluc,276320
G3,nluc,3986819
G4,nluc,6097
G5,nluc,648386
G6,nluc,26576
G7,nluc,3396
G8,nluc,342055
G9,nluc,21922
G10,nluc,4376
G11,nluc,498226
G12,nluc,22434
H1,nluc,5717
H2,nluc,493779
H3,nluc,27653
