well,assay,counts
E2,fluc,1
F2,fluc,-1
G2,fluc,3
E12,fluc,0
F12,fluc,1
G12,fluc,0
E2,nluc,228
F2,nluc,205
G2,nluc,180
E12,nluc,171
F12,nluc,166
G12,nluc,133
B2,fluc,2
B3,fluc,43
B4,fluc,50
B5,fluc,54
B6,fluc,79
B7,fluc,54
B8,fluc,194
B9,fluc,48
B10,fluc,84
B11,fluc,56
C2,fluc,26
C3,fluc,49
C4,fluc,49
C5,fluc,105
C6,fluc,39
C7,fluc,148
C8,fluc,50
C9,fluc,56
C10,fluc,31
C11,fluc,2
D2,fluc,2
D3,fluc,41
D4,fluc,51
D5,fluc,56
D6,fluc,155
D7,fluc,100
D8,fluc,113
D9,fluc,87
D10,fluc,72
D11,fluc,44
B2,nluc,133
B3,nluc,93750
B4,nluc,14318
B5,nluc,2470
B6,nluc,2747
B7,nluc,13842
B8,nluc,133743
B9,nluc,25874
B10,nluc,822
B11,nluc,10769
C2,nluc,4402
C3,nluc,952
C4,nluc,41620
C5,nluc,94551
C6,nluc,14720
C7,nluc,5861
C8,nluc,3974
C9,nluc,15748
C10,nluc,46758
C11,nluc,130
D2,nluc,222
D3,nluc,119778
D4,nluc,20450
D5,nluc,3358
D6,nluc,4119
D7,nluc,41312
D8,nluc,61865
D9,nluc,68743
D10,nluc,1122
D11,nluc,7225
