well	assay	counts
B2	fluc	2
B3	fluc	1242
B4	fluc	610
B5	fluc	761
B6	fluc	486
B7	fluc	52
B8	fluc	285
B9	fluc	42
B10	fluc	642
C2	fluc	885
C3	fluc	143
C4	fluc	497
C5	fluc	39
C6	fluc	596
C7	fluc	691
C8	fluc	381
C9	fluc	620
C10	fluc	11
D2	fluc	7
D3	fluc	1031
D4	fluc	358
D5	fluc	692
D6	fluc	259
D7	fluc	60
D8	fluc	336
D9	fluc	39
D10	fluc	432
E2	fluc	7
E3	fluc	29
E4	fluc	156
E5	fluc	535
E6	fluc	291
E7	fluc	443
E8	fluc	526
E9	fluc	491
E10	fluc	217
F2	fluc	625
F3	fluc	859
F4	fluc	834
F5	fluc	252
F6	fluc	144
F7	fluc	455
F8	fluc	119
F9	fluc	21
F10	fluc	3
G2	fluc	10
G3	fluc	54
G4	fluc	208
G5	fluc	349
G6	fluc	223
G7	fluc	235
G8	fluc	620
G9	fluc	509
G10	fluc	278
B2	nluc	427
B3	nluc	56939
B4	nluc	553443
B5	nluc	1035658
B6	nluc	9525
B7	nluc	4220
B8	nluc	28797
B9	nluc	3025
B10	nluc	22398
C2	nluc	25051
C3	nluc	4651
C4	nluc	41577
C5	nluc	3749
C6	nluc	11264
C7	nluc	1097220
C8	nluc	496126
C9	nluc	58698
C10	nluc	317
D2	nluc	457
D3	nluc	68757
D4	nluc	383726
D5	nluc	883225
D6	nluc	9227
D7	nluc	5006
D8	nluc	41085
D9	nluc	2891
D10	nluc	14957
E2	nluc	369
E3	nluc	1675
E4	nluc	177484
E5	nluc	292734
E6	nluc	12919
E7	nluc	23706
E8	nluc	273311
E9	nluc	33758
E10	nluc	2332
F2	nluc	3720
F3	nluc	34140
F4	nluc	293941
F5	nluc	15528
F6	nluc	9943
F7	nluc	293999
F8	nluc	206466
F9	nluc	1071
F10	nluc	245
G2	nluc	213
G3	nluc	1039
G4	nluc	217548
G5	nluc	223738
G6	nluc	12951
G7	nluc	15461
G8	nluc	255741
G9	nluc	35412
G10	nluc	3383
