well,reporter,label,replicate,P22A,label_order
B2,mock,mock,1,,
B3,pASHS64,gp48UTR,1,,11
B4,pTBHS1,gp48UTR-no-stall,1,,2
B5,pTBHS2,gp48UTR-no-AUG,1,,3
B6,pTBHS3,gp48UTR-stronger-start,1,,1
B7,pHPHS579,1-flag-longer,1,,10
B8,pHPHS580,2-flag-longer,1,,9
B9,pHPHS581,3-flag-longer,1,,8
B10,pHPHS582,4-flag-longer,1,,7
B11,pHPHS583,7-flag-longer,1,,6
C2,mock,mock,2,,
C3,pASHS64,gp48UTR,2,,11
C4,pTBHS1,gp48UTR-no-stall,2,,2
C5,pTBHS2,gp48UTR-no-AUG,2,,3
C6,pTBHS3,gp48UTR-stronger-start,2,,1
C7,pHPHS579,1-flag-longer,2,,10
C8,pHPHS580,2-flag-longer,2,,9
C9,pHPHS581,3-flag-longer,2,,8
C10,pHPHS582,4-flag-longer,2,,7
C11,pHPHS583,7-flag-longer,2,,6
D2,mock,mock,3,,
D3,pASHS64,gp48UTR,3,,11
D4,pTBHS1,gp48UTR-no-stall,3,,2
D5,pTBHS2,gp48UTR-no-AUG,3,,3
D6,pTBHS3,gp48UTR-stronger-start,3,,1
D7,pHPHS579,1-flag-longer,3,,10
D8,pHPHS580,2-flag-longer,3,,9
D9,pHPHS581,3-flag-longer,3,,8
D10,pHPHS582,4-flag-longer,3,,7
D11,pHPHS583,7-flag-longer,3,,6
E2,pHPHS584,10-flag-longer,1,,5
E3,pTBHS12,GAPDH GACACC stop before uORF2,1,no,2
E4,pTBHS13,GAPDH GACACC stop before uORF2,1,yes,2
E5,pTBHS23,GAPDH no start stop before uORF2,1,no,1
E6,pTBHS24,GAPDH no start stop before uORF2,1,yes,1
E7,pTBHS58,GAPDH GACACC 2 eYFP codons longer,1,no,4
E8,pTBHS59,GAPDH GACACC 2 eYFP codons longer,1,yes,4
E9,pTBHS60,GAPDH no AUG 2 eYFP codons longer,1,no,3
E10,pTBHS61,GAPDH no AUG 2 eYFP codons longer,1,yes,3
F2,pHPHS584,10-flag-longer,2,,5
F3,pTBHS12,GAPDH GACACC stop before uORF2,2,no,2
F4,pTBHS13,GAPDH GACACC stop before uORF2,2,yes,2
F5,pTBHS23,GAPDH no start stop before uORF2,2,no,1
F6,pTBHS24,GAPDH no start stop before uORF2,2,yes,1
F7,pTBHS58,GAPDH GACACC 2 eYFP codons longer,2,no,4
F8,pTBHS59,GAPDH GACACC 2 eYFP codons longer,2,yes,4
F9,pTBHS60,GAPDH no AUG 2 eYFP codons longer,2,no,3
F10,pTBHS61,GAPDH no AUG 2 eYFP codons longer,2,yes,3
G2,pHPHS584,10-flag-longer,3,,5
G3,pTBHS12,GAPDH GACACC stop before uORF2,3,no,2
G4,pTBHS13,GAPDH GACACC stop before uORF2,3,yes,2
G5,pTBHS23,GAPDH no start stop before uORF2,3,no,1
G6,pTBHS24,GAPDH no start stop before uORF2,3,yes,1
G7,pTBHS58,GAPDH GACACC 2 eYFP codons longer,3,no,4
G8,pTBHS59,GAPDH GACACC 2 eYFP codons longer,3,yes,4
G9,pTBHS60,GAPDH no AUG 2 eYFP codons longer,3,no,3
G10,pTBHS61,GAPDH no AUG 2 eYFP codons longer,3,yes,3
