well,assay,counts
B2,fluc,32
B3,fluc,4830
B4,fluc,13618
B5,fluc,6739
B6,fluc,12705
B7,fluc,14956
B8,fluc,20605
B9,fluc,20144
B10,fluc,14608
B11,fluc,15753
C2,fluc,26
C3,fluc,4277
C4,fluc,11218
C5,fluc,4743
C6,fluc,14455
C7,fluc,18746
C8,fluc,21729
C9,fluc,22896
C10,fluc,18866
C11,fluc,20332
D2,fluc,62
D3,fluc,3814
D4,fluc,8228
D5,fluc,4920
D6,fluc,13021
D7,fluc,17459
D8,fluc,19730
D9,fluc,21258
D10,fluc,13113
D11,fluc,18138
B2,nluc,9379
B3,nluc,283443
B4,nluc,
B5,nluc,7991125
B6,nluc,338068
B7,nluc,469912
B8,nluc,1903705
B9,nluc,2178678
B10,nluc,1170848
B11,nluc,2492030
C2,nluc,12096
C3,nluc,230267
C4,nluc,
C5,nluc,5526811
C6,nluc,343922
C7,nluc,554784
C8,nluc,1934583
C9,nluc,2127651
C10,nluc,1059108
C11,nluc,2308549
D2,nluc,13866
D3,nluc,259334
D4,nluc,
D5,nluc,6562648
D6,nluc,345575
D7,nluc,611411
D8,nluc,1699520
D9,nluc,2525395
D10,nluc,1133864
D11,nluc,2419016
E2,fluc,18063
E3,fluc,8388
E4,fluc,6080
E5,fluc,101
E6,fluc,7841
E7,fluc,11309
E8,fluc,8985
E9,fluc,15097
E10,fluc,11777
F2,fluc,14793
F3,fluc,8358
F4,fluc,5664
F5,fluc,106
F6,fluc,6981
F7,fluc,9577
F8,fluc,8477
F9,fluc,10965
F10,fluc,11363
G2,fluc,14002
G3,fluc,8249
G4,fluc,5049
G5,fluc,170
G6,fluc,7135
G7,fluc,9448
G8,fluc,8306
G9,fluc,11554
G10,fluc,12596
E2,nluc,3722386
E3,nluc,1219288
E4,nluc,2830211
E5,nluc,32279
E6,nluc,
E7,nluc,1579096
E8,nluc,3942680
E9,nluc,1096410
E10,nluc,
F2,nluc,3439298
F3,nluc,1309688
F4,nluc,2659954
F5,nluc,27853
F6,nluc,
F7,nluc,1461918
F8,nluc,3845835
F9,nluc,870899
F10,nluc,
G2,nluc,3121044
G3,nluc,1140677
G4,nluc,2196766
G5,nluc,22906
G6,nluc,
G7,nluc,1319793
G8,nluc,3727213
G9,nluc,823007
G10,nluc,8916398
