well,assay,counts
B2,fluc,1252
B3,fluc,6389
B4,fluc,1143
B5,fluc,9256
B6,fluc,8575
B7,fluc,4131
B8,fluc,5081
B9,fluc,10082
B10,fluc,10344
B11,fluc,4503
C2,fluc,1071
C3,fluc,6889
C4,fluc,1302
C5,fluc,12508
C6,fluc,11227
C7,fluc,4645
C8,fluc,3111
C9,fluc,12680
C10,fluc,15276
C11,fluc,13705
D2,fluc,1606
D3,fluc,6771
D4,fluc,2739
D5,fluc,13785
D6,fluc,9257
D7,fluc,3231
D8,fluc,2752
D9,fluc,9153
D10,fluc,10539
D11,fluc,11065
B2,nluc,61378
B3,nluc,6646472
B4,nluc,1382051
B5,nluc,216992
B6,nluc,1059070
B7,nluc,1846362
B8,nluc,231065
B9,nluc,
B10,nluc,1032688
B11,nluc,2678067
C2,nluc,59218
C3,nluc,7286791
C4,nluc,1826619
C5,nluc,340931
C6,nluc,1730697
C7,nluc,2004204
C8,nluc,123622
C9,nluc,
C10,nluc,1530948
C11,nluc,4402577
D2,nluc,76594
D3,nluc,7455447
D4,nluc,3213958
D5,nluc,338338
D6,nluc,1096989
D7,nluc,1107191
D8,nluc,88879
D9,nluc,9591570
D10,nluc,1304786
D11,nluc,4362950
E5,fluc,10351
E6,fluc,14031
E7,fluc,10557
E8,fluc,1432
E9,fluc,42
F5,fluc,16075
F6,fluc,15218
F7,fluc,12100
F8,fluc,18395
F9,fluc,39
G5,fluc,10516
G6,fluc,16895
G7,fluc,5992
G8,fluc,7069
G9,fluc,25
E5,nluc,620121
E6,nluc,9416058
E7,nluc,25369
E8,nluc,992514
E9,nluc,18077
F5,nluc,1143702
F6,nluc,9508413
F7,nluc,25189
F8,nluc,9206697
F9,nluc,12253
G5,nluc,933224
G6,nluc,9443335
G7,nluc,17636
G8,nluc,3800102
G9,nluc,8127
