well	assay	counts
B2	nluc	2432
B3	nluc	640617
B4	nluc	4082121
B5	nluc	2221624
B6	nluc	13851
B7	nluc	503005
B8	nluc	694679
B9	nluc	1129426
B10	nluc	54578
B11	nluc	243429
C2	nluc	248954
C3	nluc	43901
C4	nluc	1122054
C5	nluc	510726
C6	nluc	372913
C7	nluc	17445
C8	nluc	1490846
C9	nluc	3107509
C10	nluc	497961
C11	nluc	2157
D2	nluc	3845
D3	nluc	624996
D4	nluc	3981674
D5	nluc	2243142
D6	nluc	24929
D7	nluc	315935
D8	nluc	709948
D9	nluc	901635
D10	nluc	39399
D11	nluc	214805
E2	nluc	313755
E3	nluc	63018
E4	nluc	212621
E5	nluc	134232
E6	nluc	1645722
E7	nluc	459967
E8	nluc	662720
E9	nluc	1211521
E10	nluc	354513
E11	nluc	795261
F2	nluc	1135295
F3	nluc	525715
F4	nluc	1900098
F5	nluc	672452
F6	nluc	505799
F7	nluc	1909862
F8	nluc	164910
F9	nluc	227829
F10	nluc	93600
F11	nluc	399047
G2	nluc	331581
G3	nluc	86070
G4	nluc	201230
G5	nluc	159828
G6	nluc	1470711
G7	nluc	302463
G8	nluc	896559
G9	nluc	1511545
G10	nluc	284659
G11	nluc	807426
B2	fluc	14
B3	fluc	11545
B4	fluc	7012
B5	fluc	3033
B6	fluc	603
B7	fluc	5033
B8	fluc	2626
B9	fluc	3446
B10	fluc	1503
B11	fluc	8037
C2	fluc	7855
C3	fluc	875
C4	fluc	3191
C5	fluc	1887
C6	fluc	4223
C7	fluc	829
C8	fluc	1765
C9	fluc	4870
C10	fluc	9141
C11	fluc	21
D2	fluc	48
D3	fluc	10384
D4	fluc	6181
D5	fluc	2704
D6	fluc	1185
D7	fluc	3918
D8	fluc	2919
D9	fluc	2872
D10	fluc	700
D11	fluc	6752
E2	fluc	8731
E3	fluc	2632
E4	fluc	2143
E5	fluc	1952
E6	fluc	4634
E7	fluc	864
E8	fluc	2357
E9	fluc	2917
E10	fluc	1552
E11	fluc	2788
F2	fluc	3776
F3	fluc	2052
F4	fluc	4674
F5	fluc	2572
F6	fluc	1003
F7	fluc	6206
F8	fluc	2348
F9	fluc	3130
F10	fluc	4187
F11	fluc	9008
G2	fluc	7075
G3	fluc	3644
G4	fluc	2329
G5	fluc	2169
G6	fluc	4613
G7	fluc	466
G8	fluc	3516
G9	fluc	3815
G10	fluc	1331
G11	fluc	2732
