sim_id	k_cap_bind	k_start_uorf2	k_scan	k_elong	k_elong_stall	k_terminated_ssu_recycle_uorf2	uorf2_start	uorf2_stop	uorf3_start	uorf3_stop	orf_start	orf_stop	l_mrna	x_stall	k_scan_term_5_hit_80s	k_scan_term_both_hit_80s_40s	k_scan_term_both_hit_80s_80s
0	0.015625	0.1	2	2	0.001	2	25	88	94	103	229	274	277	85	2	2	2
1	0.015625	0.1	2	2	0.001	2	25	88	94	103	229	274	277	85	200	200	200
2	0.015625	0.1	2	2	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
3	0.015625	0.1	2	2	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
4	0.015625	0.1	2	2	2.0	2	25	88	94	103	229	274	277	85	2	2	2
5	0.015625	0.1	2	2	2.0	2	25	88	94	103	229	274	277	85	200	200	200
6	0.015625	0.1	2	2	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
7	0.015625	0.1	2	2	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
8	0.015625	0.1	2	5	0.001	2	25	88	94	103	229	274	277	85	2	2	2
9	0.015625	0.1	2	5	0.001	2	25	88	94	103	229	274	277	85	200	200	200
10	0.015625	0.1	2	5	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
11	0.015625	0.1	2	5	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
12	0.015625	0.1	2	5	2.0	2	25	88	94	103	229	274	277	85	2	2	2
13	0.015625	0.1	2	5	2.0	2	25	88	94	103	229	274	277	85	200	200	200
14	0.015625	0.1	2	5	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
15	0.015625	0.1	2	5	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
16	0.015625	0.1	5	2	0.001	2	25	88	94	103	229	274	277	85	2	2	2
17	0.015625	0.1	5	2	0.001	2	25	88	94	103	229	274	277	85	200	200	200
18	0.015625	0.1	5	2	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
19	0.015625	0.1	5	2	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
20	0.015625	0.1	5	2	2.0	2	25	88	94	103	229	274	277	85	2	2	2
21	0.015625	0.1	5	2	2.0	2	25	88	94	103	229	274	277	85	200	200	200
22	0.015625	0.1	5	2	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
23	0.015625	0.1	5	2	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
24	0.015625	0.1	5	5	0.001	2	25	88	94	103	229	274	277	85	2	2	2
25	0.015625	0.1	5	5	0.001	2	25	88	94	103	229	274	277	85	200	200	200
26	0.015625	0.1	5	5	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
27	0.015625	0.1	5	5	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
28	0.015625	0.1	5	5	2.0	2	25	88	94	103	229	274	277	85	2	2	2
29	0.015625	0.1	5	5	2.0	2	25	88	94	103	229	274	277	85	200	200	200
30	0.015625	0.1	5	5	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
31	0.015625	0.1	5	5	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
32	0.015625	20.0	2	2	0.001	2	25	88	94	103	229	274	277	85	2	2	2
33	0.015625	20.0	2	2	0.001	2	25	88	94	103	229	274	277	85	200	200	200
34	0.015625	20.0	2	2	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
35	0.015625	20.0	2	2	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
36	0.015625	20.0	2	2	2.0	2	25	88	94	103	229	274	277	85	2	2	2
37	0.015625	20.0	2	2	2.0	2	25	88	94	103	229	274	277	85	200	200	200
38	0.015625	20.0	2	2	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
39	0.015625	20.0	2	2	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
40	0.015625	20.0	2	5	0.001	2	25	88	94	103	229	274	277	85	2	2	2
41	0.015625	20.0	2	5	0.001	2	25	88	94	103	229	274	277	85	200	200	200
42	0.015625	20.0	2	5	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
43	0.015625	20.0	2	5	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
44	0.015625	20.0	2	5	2.0	2	25	88	94	103	229	274	277	85	2	2	2
45	0.015625	20.0	2	5	2.0	2	25	88	94	103	229	274	277	85	200	200	200
46	0.015625	20.0	2	5	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
47	0.015625	20.0	2	5	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
48	0.015625	20.0	5	2	0.001	2	25	88	94	103	229	274	277	85	2	2	2
49	0.015625	20.0	5	2	0.001	2	25	88	94	103	229	274	277	85	200	200	200
50	0.015625	20.0	5	2	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
51	0.015625	20.0	5	2	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
52	0.015625	20.0	5	2	2.0	2	25	88	94	103	229	274	277	85	2	2	2
53	0.015625	20.0	5	2	2.0	2	25	88	94	103	229	274	277	85	200	200	200
54	0.015625	20.0	5	2	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
55	0.015625	20.0	5	2	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
56	0.015625	20.0	5	5	0.001	2	25	88	94	103	229	274	277	85	2	2	2
57	0.015625	20.0	5	5	0.001	2	25	88	94	103	229	274	277	85	200	200	200
58	0.015625	20.0	5	5	0.001	2495	25	88	94	103	229	274	277	85	2	2	2
59	0.015625	20.0	5	5	0.001	2495	25	88	94	103	229	274	277	85	200	200	200
60	0.015625	20.0	5	5	2.0	2	25	88	94	103	229	274	277	85	2	2	2
61	0.015625	20.0	5	5	2.0	2	25	88	94	103	229	274	277	85	200	200	200
62	0.015625	20.0	5	5	2.0	2495	25	88	94	103	229	274	277	85	2	2	2
63	0.015625	20.0	5	5	2.0	2495	25	88	94	103	229	274	277	85	200	200	200
64	0.015625	0.1	2	2	0.001	2	25	91	97	106	232	277	280	88	2	2	2
65	0.015625	0.1	2	2	0.001	2	25	91	97	106	232	277	280	88	200	200	200
66	0.015625	0.1	2	2	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
67	0.015625	0.1	2	2	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
68	0.015625	0.1	2	2	2.0	2	25	91	97	106	232	277	280	88	2	2	2
69	0.015625	0.1	2	2	2.0	2	25	91	97	106	232	277	280	88	200	200	200
70	0.015625	0.1	2	2	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
71	0.015625	0.1	2	2	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
72	0.015625	0.1	2	5	0.001	2	25	91	97	106	232	277	280	88	2	2	2
73	0.015625	0.1	2	5	0.001	2	25	91	97	106	232	277	280	88	200	200	200
74	0.015625	0.1	2	5	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
