sim_id	k_cap_bind	k_start_uorf2	k_elong_stall	k_terminated_ssu_recycle_uorf2	uorf2_start	uorf2_stop	uorf3_start	uorf3_stop	orf_start	orf_stop	l_mrna	x_stall	k_scan_term_5_hit_80s	k_scan_term_both_hit_80s_40s	k_scan_term_both_hit_80s_80s
0	0.015625	0.0	0.001	15.0	25	88	94	103	229	274	277	85	2	2	2
1	0.015625	0.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2
2	0.015625	0.0	0.001	1.6666666666666667	25	88	94	103	229	274	277	85	2	2	2
3	0.015625	0.0	5.0	15.0	25	88	94	103	229	274	277	85	2	2	2
4	0.015625	0.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2
5	0.015625	0.0	5.0	1.6666666666666667	25	88	94	103	229	274	277	85	2	2	2
6	0.015625	0.1	0.001	15.0	25	88	94	103	229	274	277	85	2	2	2
7	0.015625	0.1	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2
8	0.015625	0.1	0.001	1.6666666666666667	25	88	94	103	229	274	277	85	2	2	2
9	0.015625	0.1	5.0	15.0	25	88	94	103	229	274	277	85	2	2	2
10	0.015625	0.1	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2
11	0.015625	0.1	5.0	1.6666666666666667	25	88	94	103	229	274	277	85	2	2	2
12	0.015625	20.0	0.001	15.0	25	88	94	103	229	274	277	85	2	2	2
13	0.015625	20.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2
14	0.015625	20.0	0.001	1.6666666666666667	25	88	94	103	229	274	277	85	2	2	2
15	0.015625	20.0	5.0	15.0	25	88	94	103	229	274	277	85	2	2	2
16	0.015625	20.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2
17	0.015625	20.0	5.0	1.6666666666666667	25	88	94	103	229	274	277	85	2	2	2
18	0.015625	0.0	0.001	15.0	25	178	184	193	319	364	367	175	2	2	2
19	0.015625	0.0	0.001	5.0	25	178	184	193	319	364	367	175	2	2	2
20	0.015625	0.0	0.001	1.6666666666666667	25	178	184	193	319	364	367	175	2	2	2
21	0.015625	0.0	5.0	15.0	25	178	184	193	319	364	367	175	2	2	2
22	0.015625	0.0	5.0	5.0	25	178	184	193	319	364	367	175	2	2	2
23	0.015625	0.0	5.0	1.6666666666666667	25	178	184	193	319	364	367	175	2	2	2
24	0.015625	0.1	0.001	15.0	25	178	184	193	319	364	367	175	2	2	2
25	0.015625	0.1	0.001	5.0	25	178	184	193	319	364	367	175	2	2	2
26	0.015625	0.1	0.001	1.6666666666666667	25	178	184	193	319	364	367	175	2	2	2
27	0.015625	0.1	5.0	15.0	25	178	184	193	319	364	367	175	2	2	2
28	0.015625	0.1	5.0	5.0	25	178	184	193	319	364	367	175	2	2	2
29	0.015625	0.1	5.0	1.6666666666666667	25	178	184	193	319	364	367	175	2	2	2
30	0.015625	20.0	0.001	15.0	25	178	184	193	319	364	367	175	2	2	2
31	0.015625	20.0	0.001	5.0	25	178	184	193	319	364	367	175	2	2	2
32	0.015625	20.0	0.001	1.6666666666666667	25	178	184	193	319	364	367	175	2	2	2
33	0.015625	20.0	5.0	15.0	25	178	184	193	319	364	367	175	2	2	2
34	0.015625	20.0	5.0	5.0	25	178	184	193	319	364	367	175	2	2	2
35	0.015625	20.0	5.0	1.6666666666666667	25	178	184	193	319	364	367	175	2	2	2
36	0.015625	0.0	0.001	15.0	25	268	274	283	409	454	457	265	2	2	2
37	0.015625	0.0	0.001	5.0	25	268	274	283	409	454	457	265	2	2	2
38	0.015625	0.0	0.001	1.6666666666666667	25	268	274	283	409	454	457	265	2	2	2
39	0.015625	0.0	5.0	15.0	25	268	274	283	409	454	457	265	2	2	2
40	0.015625	0.0	5.0	5.0	25	268	274	283	409	454	457	265	2	2	2
41	0.015625	0.0	5.0	1.6666666666666667	25	268	274	283	409	454	457	265	2	2	2
42	0.015625	0.1	0.001	15.0	25	268	274	283	409	454	457	265	2	2	2
43	0.015625	0.1	0.001	5.0	25	268	274	283	409	454	457	265	2	2	2
44	0.015625	0.1	0.001	1.6666666666666667	25	268	274	283	409	454	457	265	2	2	2
45	0.015625	0.1	5.0	15.0	25	268	274	283	409	454	457	265	2	2	2
46	0.015625	0.1	5.0	5.0	25	268	274	283	409	454	457	265	2	2	2
47	0.015625	0.1	5.0	1.6666666666666667	25	268	274	283	409	454	457	265	2	2	2
48	0.015625	20.0	0.001	15.0	25	268	274	283	409	454	457	265	2	2	2
49	0.015625	20.0	0.001	5.0	25	268	274	283	409	454	457	265	2	2	2
50	0.015625	20.0	0.001	1.6666666666666667	25	268	274	283	409	454	457	265	2	2	2
51	0.015625	20.0	5.0	15.0	25	268	274	283	409	454	457	265	2	2	2
52	0.015625	20.0	5.0	5.0	25	268	274	283	409	454	457	265	2	2	2
53	0.015625	20.0	5.0	1.6666666666666667	25	268	274	283	409	454	457	265	2	2	2
54	0.015625	0.0	0.001	15.0	25	358	364	373	499	544	547	355	2	2	2
55	0.015625	0.0	0.001	5.0	25	358	364	373	499	544	547	355	2	2	2
56	0.015625	0.0	0.001	1.6666666666666667	25	358	364	373	499	544	547	355	2	2	2
57	0.015625	0.0	5.0	15.0	25	358	364	373	499	544	547	355	2	2	2
58	0.015625	0.0	5.0	5.0	25	358	364	373	499	544	547	355	2	2	2
59	0.015625	0.0	5.0	1.6666666666666667	25	358	364	373	499	544	547	355	2	2	2
60	0.015625	0.1	0.001	15.0	25	358	364	373	499	544	547	355	2	2	2
61	0.015625	0.1	0.001	5.0	25	358	364	373	499	544	547	355	2	2	2
62	0.015625	0.1	0.001	1.6666666666666667	25	358	364	373	499	544	547	355	2	2	2
63	0.015625	0.1	5.0	15.0	25	358	364	373	499	544	547	355	2	2	2
64	0.015625	0.1	5.0	5.0	25	358	364	373	499	544	547	355	2	2	2
65	0.015625	0.1	5.0	1.6666666666666667	25	358	364	373	499	544	547	355	2	2	2
66	0.015625	20.0	0.001	15.0	25	358	364	373	499	544	547	355	2	2	2
67	0.015625	20.0	0.001	5.0	25	358	364	373	499	544	547	355	2	2	2
68	0.015625	20.0	0.001	1.6666666666666667	25	358	364	373	499	544	547	355	2	2	2
69	0.015625	20.0	5.0	15.0	25	358	364	373	499	544	547	355	2	2	2
70	0.015625	20.0	5.0	5.0	25	358	364	373	499	544	547	355	2	2	2
71	0.015625	20.0	5.0	1.6666666666666667	25	358	364	373	499	544	547	355	2	2	2
72	0.03125	0.0	0.001	15.0	25	88	94	103	229	274	277	85	2	2	2
73	0.03125	0.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2
74	0.03125	0.0	0.001	1.6666666666666667	25	88	94	103	229	274	277	85	2	2	2
75	0.03125	0.0	5.0	15.0	25	88	94	103	229	274	277	85	2	2	2
76	0.03125	0.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2
77	0.03125	0.0	5.0	1.6666666666666667	25	88	94	103	229	274	277	85	2	2	2
78	0.03125	0.1	0.001	15.0	25	88	94	103	229	274	277	85	2	2	2
