sim_id	k_cap_bind	k_start_uorf2	k_elong_stall	k_terminated_ssu_recycle_uorf2	uorf2_start	uorf2_stop	uorf3_start	uorf3_stop	orf_start	orf_stop	l_mrna	x_stall	k_scan_term_3_hit_80s	k_scan_term_3_hit_40s	k_scan_term_both_hit_40s_80s	k_scan_term_both_hit_40s_40s	k_scan_term_both_hit_80s_40s	k_scan_term_both_hit_80s_80s
0	0.015625	0.0	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
1	0.015625	0.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
2	0.015625	0.0	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
3	0.015625	0.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
4	0.015625	0.5	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
5	0.015625	0.5	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
6	0.015625	0.5	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
7	0.015625	0.5	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
8	0.015625	5.0	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
9	0.015625	5.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
10	0.015625	5.0	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
11	0.015625	5.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
12	0.03125	0.0	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
13	0.03125	0.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
14	0.03125	0.0	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
15	0.03125	0.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
16	0.03125	0.5	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
17	0.03125	0.5	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
18	0.03125	0.5	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
19	0.03125	0.5	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
20	0.03125	5.0	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
21	0.03125	5.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
22	0.03125	5.0	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
23	0.03125	5.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
24	0.0625	0.0	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
25	0.0625	0.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
26	0.0625	0.0	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
27	0.0625	0.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
28	0.0625	0.5	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
29	0.0625	0.5	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
30	0.0625	0.5	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
31	0.0625	0.5	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
32	0.0625	5.0	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
33	0.0625	5.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
34	0.0625	5.0	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
35	0.0625	5.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
36	0.125	0.0	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
37	0.125	0.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
38	0.125	0.0	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
39	0.125	0.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
40	0.125	0.5	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
41	0.125	0.5	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
42	0.125	0.5	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
43	0.125	0.5	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
44	0.125	5.0	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
45	0.125	5.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
46	0.125	5.0	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
47	0.125	5.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
48	0.25	0.0	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
49	0.25	0.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
50	0.25	0.0	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
51	0.25	0.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
52	0.25	0.5	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
53	0.25	0.5	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
54	0.25	0.5	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
55	0.25	0.5	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
56	0.25	5.0	0.001	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
57	0.25	5.0	0.001	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
58	0.25	5.0	5.0	5.0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
59	0.25	5.0	5.0	5.0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
